Sensor code,Latitude,Longitude,Elevation,Sensor type,Start time,End time,Skew microseconds,skew seconds
O01,63.78344,-22.01142,-106,PZ_OBS,2014-08-22T19:12:56,2015-08-26T21:47:41,2023125,2.023125
O02,63.78321,-22.22867,-100,PZ_OBS,2014-08-22T19:03:35,2015-07-20T05:06:14,1790906,1.790906
O03,63.77156,-22.47474,-111,PZ_OBS,2014-08-22T20:23:08,2015-08-26T21:20:00,1137506,1.137506
O04,63.75381,-22.7006,-137,PZ_OBS,2014-08-22T19:53:43,2015-08-26T21:29:16,1774437,1.774437
O05,63.77284,-22.84096,-79,PZ_OBS,2014-08-20T22:43:11,,,
O06,63.90564,-22.85941,-91,PZ_OBS,2014-08-21T19:53:29,2015-08-30T11:07:25,1129468,1.129468
O07,63.97613,-22.88025,-81,PZ_OBS,2014-08-19T11:13:02,2015-08-30T09:06:42,1758837,1.758837
O08,64.0982,-22.4029,-36,PZ_OBS,2014-08-10T12:26:05,2015-08-29T22:21:11,1099625,1.099625
O10,64.04705,-23.09651,-99.5,PZ_OBS,2014-08-20T17:18:42,2015-08-31T14:20:05,1813093,1.813093
O11,63.915,-23.091,-119,PZ_OBS,2014-08-20T18:40:48,2015-08-30T10:15:08,1469656,1.469656
O12,63.77653,-23.25142,-155,PZ_OBS,2014-08-20T19:06:39,,,
O14,63.62276,-22.86604,-174,PZ_OBS,2014-08-20T22:51:43,2015-08-30T20:20:00,1268156,1.268156
O15,63.61422,-22.6184,-151,PZ_OBS,2014-08-22T20:37:53,2015-08-30T19:30:00,2669093,2.669093
O16,63.68114,-22.39437,-146,PZ_OBS,2014-08-22T19:25:16,2015-08-30T15:44:19,1648781,1.648781
O17,63.59102,-22.19684,-178,PZ_OBS,2014-08-22T20:05:38,2015-08-30T17:25:07,1358468,1.358468
O18,63.48008,-22.57946,-235,PZ_OBS,2014-08-21T20:49:33,,,
O19,63.61303,-23.07999,-169,PZ_OBS,2014-08-21T20:19:25,2015-08-30T22:30:00,2147531,2.147531
O20,63.68719,-23.31253,-109,PZ_OBS,2014-08-20T17:51:50,2015-08-30T23:39:12,5445781,5.445781
O21,64.01889,-23.6863,-140,PZ_OBS,2014-08-20T18:05:20,,,
O22,63.82679,-23.80373,-152,PZ_OBS,2014-08-20T18:21:52,2015-08-31T09:19:19,1662562,1.662562
O23,63.50439,-22.98352,-195,PZ_OBS,2014-08-21T21:00:36,2015-08-30T21:40:00,1296875,1.296875